Standard Key,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80
780+,-0.375,-0.375,-0.375,-0.500,-0.750,-1.250,NA
760-779,-0.375,-0.375,-0.375,-0.500,-0.750,-1.250,NA
740-759,-0.375,-0.375,-0.375,-0.500,-0.750,-1.250,NA
720-739,-0.375,-0.375,-0.375,-0.500,-0.750,-1.250,NA
700-719,-0.375,-0.375,-0.375,-0.500,-0.750,-1.250,NA
680-699,-0.500,-0.500,-0.500,-0.500,-1.500,-2.000,NA
660-679,-0.500,-0.500,-0.500,-0.500,-1.500,-2.000,NA
640-659,-0.500,-0.500,-0.500,-0.500,-1.500,-2.000,NA
620-639,-0.500,-0.500,-0.500,-0.500,-1.500,-2.000,NA
