Standard Key,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80
LTR: In-Place/Market Rent,0.000,0.000,0.000,0.000,0.000,0.000,0.000
STR: TTM Actuals,0.000,0.000,0.000,0.000,0.000,0.000,NA
STR: STR 1007 Market Rent (80%),0.000,0.000,0.000,0.000,0.000,0.000,NA
STR: AirDNA Projections - 100% (Pro),0.000,0.000,0.000,0.000,0.000,0.000,NA
STR: AirDNA Projections - 80%,0.000,0.000,0.000,0.000,0.000,0.000,NA
STR: AirDNA Projections - 75%,0.000,0.000,0.000,0.000,0.000,0.000,NA
