Standard Key,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80
Acquisition,0.250,0.250,0.250,0.250,0.250,0.250,0.250
Rate-Term Refinance,-0.125,-0.125,-0.125,-0.125,-0.125,-0.250,NA
Cash-Out Refinance (FICO >=720),-0.500,-0.500,-0.500,-0.625,-0.875,-1.375,NA
Cash-Out Refinance (FICO <720),-0.875,-0.875,-0.875,-1.000,-1.375,-1.625,NA
