Standard Key,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80
Rural*,0.000,0.000,0.000,0.000,0.000,NA,NA
1x30x12 (Mortgage Late),0.000,0.000,0.000,0.000,0.000,0.000,0.000
FC/SS/DIL/FK7 36 - 47mo,0.000,0.000,0.000,0.000,0.000,0.000,0.000
