Standard Key,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80
780+,1.500,1.375,1.250,0.875,0.250,-0.250,-1.375
760-779,1.500,1.375,1.250,0.875,0.250,-0.250,-1.375
740-759,1.500,1.375,1.125,0.750,0.000,-0.500,-1.750
720-739,1.250,1.125,0.875,0.500,-0.250,-0.750,-2.500
700-719,0.875,0.750,0.375,-0.125,-1.000,-1.750,-4.125
680-699,0.500,0.125,-0.125,-1.000,-2.500,-3.750,NA
660-679,0.000,-0.375,-0.875,-1.625,-3.000,-5.500,NA
640-659,-3.000,-3.500,-4.000,-4.500,-5.000,-6.000,NA
620-639,NA,NA,NA,NA,NA,NA,NA
