Standard Key,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80
30-Year Fixed Rate,0.000,0.000,0.000,0.000,0.000,0.000,0.000
30-Year 5/6 ARM,0.150,0.150,0.150,0.150,0.150,0.150,0.150
