Standard Key,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80
SFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Condo - Warrantable*,-0.125,-0.125,-0.125,-0.250,-0.500,-0.750,NA
Condo - Non-Warrantable*,-0.125,-0.125,-0.125,-0.250,-0.500,-0.750,NA
Condotel*,-1.500,-1.500,-1.500,-1.500,-1.500,-2.000,NA
2-4 Unit*,-0.500,-0.500,-0.500,-0.500,-0.750,-1.000,NA
