Standard Key,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80
0,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1,-0.250,-0.250,-0.250,-0.250,-0.500,-0.500,-1.000
2+,-1.000,-1.000,-1.000,-1.500,-2.000,NA,NA
