Standard Key,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80
<0.75x,-1.750,-2.000,-2.000,-2.750,-3.000,-4.375,NA
0.75x - 0.99x,-0.500,-0.625,-0.750,-1.000,-1.500,-2.375,NA
1.00x - 1.14x,0.000,0.000,0.000,0.000,0.000,0.000,0.000
1.15x - 1.24x,0.000,0.000,0.000,0.000,0.000,0.000,0.000
>=1.25x,0.500,0.500,0.500,0.625,0.625,0.625,0.625
