Standard Key,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80
Fully Amortizing,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Partial-IO (10 Years)*,-0.500,-0.500,-0.500,-0.500,-0.625,-0.750,NA
