,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Easy Street Capital DSCR STANDARD SERIES Rate Sheet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Easy Street Capital Signature Series (1-4 Unit DSCR) - Cash-Out Refi
"Note: See ""Standard Series Portfolios Loans"" tab for Rate Sheet for cross-collateralized Portfolio Loans and ""Standard Series (MF&MU)"" tab for Rate Sheet for loans secured by Multifamily (5-10 Units) and Mixed Use properties",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Base Rates,Premium,,DSCR / Max LTV Master Matrices,,,,,,,,,,Adjustments: FICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.500,106.582,,,,"$400,001 - $500,000",75.0%,,75.0%,,70.0%,,,Adjustments: Loan Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.625,106.894,,,,"$500,001 - $750,000",75.0%,,75.0%,,70.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.750,107.207,,,,"$750,001 - $1,000,000",75.0%,,75.0%,,70.0%,,,Loan Balance/LTV,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8.875,107.457,,,,"$1,000,001 - $1,500,000",75.0%,,70.0%,,70.0%,,,"$75,000 - $100,000",NA,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.000,107.707,,,,"$1,500,001 - $2,000,000",70.0%,,65.0%,,65.0%,,,"$100,001 - $125,000",-2.250,-2.250,-2.375,-2.375,-2.375,-3.250,-3.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.125,107.957,,,,"$2,000,001 - $2,500,000",70.0%,,65.0%,,65.0%,,,"$125,001 - $150,000",-2.000,-2.000,-2.125,-2.125,-2.125,-3.000,-3.250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.250,108.207,,,,"$2,500,001 - $3,000,000",65.0%,,NA,,NA,,,"$150,001 - $250,000",-1.250,-1.250,-1.250,-1.250,-1.250,-1.250,-1.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$3,000,001 - $3,500,000",NA,,NA,,NA,,,"$250,001 - $400,000",0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FICO,,Loan Size,Acquisition,,Rate-Term Refinance,,Cash-Out Refinance,,,"$400,001 - $500,000",0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,640-659,,"$100,001 - $125,000",70.0%,,65.0%,,NA,,,"$500,001 - $750,000",0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$125,001 - $150,000",70.0%,,65.0%,,NA,,,"$750,001 - $1,000,000",0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$150,001 - $250,000",75.0%,,70.0%,,NA,,,"$1,000,001 - $1,500,000",0.000,0.000,0.000,0.000,0.000,0.000,-0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$250,001 - $400,000",75.0%,,70.0%,,NA,,,"$1,500,001 - $2,000,000",0.000,0.000,-0.125,-0.125,-0.250,-0.500,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$400,001 - $500,000",75.0%,,70.0%,,NA,,,"$2,000,001 - $2,500,000",-0.375,-0.375,-0.500,-0.750,-1.000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$500,001 - $750,000",75.0%,,70.0%,,NA,,,"$2,500,001 - $3,000,000",-0.750,-0.750,-0.750,-1.125,-1.250,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$750,001 - $1,000,000",75.0%,,70.0%,,NA,,,"$3,000,001 - $3,500,000",-1.500,-1.500,-1.500,-1.500,-2.000,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$1,000,001 - $1,500,000",65.0%,,65.0%,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$1,500,001 - $2,000,000",65.0%,,NA,,NA,,,Adjustments: Loan Purpose Cash-Out Refinance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$2,000,001 - $2,500,000",65.0%,,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$2,500,001 - $3,000,000",60.0%,,NA,,NA,,,FICO/LTV,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$3,000,001 - $3,500,000",NA,,NA,,NA,,,780+,-0.375,-0.375,-0.375,-0.500,-0.750,-1.250,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FICO,,Loan Size,Acquisition,,Rate-Term Refinance,,Cash-Out Refinance,,,760-779,-0.375,-0.375,-0.375,-0.500,-0.750,-1.250,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,620-639,,"$100,001 - $125,000",NA,,NA,,NA,,,740-759,-0.375,-0.375,-0.375,-0.500,-0.750,-1.250,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$125,001 - $150,000",NA,,NA,,NA,,,720-739,-0.375,-0.375,-0.375,-0.500,-0.750,-1.250,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$150,001 - $250,000",NA,,NA,,NA,,,700-719,-0.375,-0.375,-0.375,-0.500,-0.750,-1.250,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$250,001 - $400,000",NA,,NA,,NA,,,680-699,-0.500,-0.500,-0.500,-0.500,-1.500,-2.000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$400,001 - $500,000",NA,,NA,,NA,,,660-679,-0.500,-0.500,-0.500,-0.500,-1.500,-2.000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$500,001 - $750,000",NA,,NA,,NA,,,640-659,-0.500,-0.500,-0.500,-0.500,-1.500,-2.000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$750,001 - $1,000,000",NA,,NA,,NA,,,620-639,-0.500,-0.500,-0.500,-0.500,-1.500,-2.000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$1,000,001 - $1,500,000",NA,,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$1,500,001 - $2,000,000",NA,,NA,,NA,,,Adjustments: Property Type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$2,000,001 - $2,500,000",NA,,NA,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$2,500,001 - $3,000,000",NA,,NA,,NA,,,Property Type/LTV,<=50,50.01-55,55.01-60,60.01-65,65.01-70,70.01-75,75.01-80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"$3,000,001 - $3,500,000",NA,,NA,,NA,,,SFR,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,Condo - Warrantable*,-0.125,-0.125,-0.125,-0.250,-0.500,-0.750,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,DSCR 1.15x - 1.24x,,,,,,,,,,Condo - Non-Warrantable*,-0.125,-0.125,-0.125,-0.250,-0.500,-0.750,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,FICO/Loan Size,,,Loan Purpose/LTV Max,,,,,,,Condotel*,-1.500,-1.500,-1.500,-1.500,-1.500,-2.000,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
